subgroup_field,subgroup_value,question_id,selected_answer,count,pct,weighted_count,weighted_pct
age_group,18-29,q1_elsayed_vs_rogers,Mike Rogers,5700,40.7,5700.0,40.7
age_group,18-29,q1_elsayed_vs_rogers,Undecided,5331,38.1,5331.0,38.1
age_group,18-29,q1_elsayed_vs_rogers,Abdul El-Sayed,2969,21.2,2969.0,21.2
age_group,18-29,q2_stevens_vs_rogers,Undecided,6744,48.2,6744.0,48.2
age_group,18-29,q2_stevens_vs_rogers,Mike Rogers,4001,28.6,4001.0,28.6
age_group,18-29,q2_stevens_vs_rogers,Haley Stevens,3255,23.2,3255.0,23.2
age_group,18-29,q3_mcmorrow_vs_rogers,Undecided,5930,42.4,5930.0,42.4
age_group,18-29,q3_mcmorrow_vs_rogers,Mike Rogers,4981,35.6,4981.0,35.6
age_group,18-29,q3_mcmorrow_vs_rogers,Mallory McMorrow,3089,22.1,3089.0,22.1
age_group,30-44,q1_elsayed_vs_rogers,Abdul El-Sayed,9000,42.9,9000.0,42.9
age_group,30-44,q1_elsayed_vs_rogers,Mike Rogers,6133,29.2,6133.0,29.2
age_group,30-44,q1_elsayed_vs_rogers,Undecided,5867,27.9,5867.0,27.9
age_group,30-44,q2_stevens_vs_rogers,Haley Stevens,11586,55.2,11586.0,55.2
age_group,30-44,q2_stevens_vs_rogers,Undecided,6414,30.5,6414.0,30.5
age_group,30-44,q2_stevens_vs_rogers,Mike Rogers,3000,14.3,3000.0,14.3
age_group,30-44,q3_mcmorrow_vs_rogers,Mallory McMorrow,9591,45.7,9591.0,45.7
age_group,30-44,q3_mcmorrow_vs_rogers,Undecided,8290,39.5,8290.0,39.5
age_group,30-44,q3_mcmorrow_vs_rogers,Mike Rogers,3119,14.9,3119.0,14.9
age_group,45-64,q1_elsayed_vs_rogers,Undecided,15453,41.8,15453.0,41.8
age_group,45-64,q1_elsayed_vs_rogers,Mike Rogers,11252,30.4,11252.0,30.4
age_group,45-64,q1_elsayed_vs_rogers,Abdul El-Sayed,10295,27.8,10295.0,27.8
age_group,45-64,q2_stevens_vs_rogers,Haley Stevens,21231,57.4,21231.0,57.4
age_group,45-64,q2_stevens_vs_rogers,Mike Rogers,10000,27.0,10000.0,27.0
age_group,45-64,q2_stevens_vs_rogers,Undecided,5769,15.6,5769.0,15.6
age_group,45-64,q3_mcmorrow_vs_rogers,Undecided,16653,45.0,16653.0,45.0
age_group,45-64,q3_mcmorrow_vs_rogers,Mallory McMorrow,10333,27.9,10333.0,27.9
age_group,45-64,q3_mcmorrow_vs_rogers,Mike Rogers,10014,27.1,10014.0,27.1
age_group,65+,q1_elsayed_vs_rogers,Mike Rogers,14817,52.9,14817.0,52.9
age_group,65+,q1_elsayed_vs_rogers,Abdul El-Sayed,9000,32.1,9000.0,32.1
age_group,65+,q1_elsayed_vs_rogers,Undecided,4183,14.9,4183.0,14.9
age_group,65+,q2_stevens_vs_rogers,Mike Rogers,14000,50.0,14000.0,50.0
age_group,65+,q2_stevens_vs_rogers,Haley Stevens,11413,40.8,11413.0,40.8
age_group,65+,q2_stevens_vs_rogers,Undecided,2587,9.2,2587.0,9.2
age_group,65+,q3_mcmorrow_vs_rogers,Mike Rogers,14166,50.6,14166.0,50.6
age_group,65+,q3_mcmorrow_vs_rogers,Mallory McMorrow,9000,32.1,9000.0,32.1
age_group,65+,q3_mcmorrow_vs_rogers,Undecided,4834,17.3,4834.0,17.3
education,College degree,q1_elsayed_vs_rogers,Mike Rogers,12370,39.9,12370.0,39.9
education,College degree,q1_elsayed_vs_rogers,Undecided,11625,37.5,11625.0,37.5
education,College degree,q1_elsayed_vs_rogers,Abdul El-Sayed,7005,22.6,7005.0,22.6
education,College degree,q2_stevens_vs_rogers,Haley Stevens,13642,44.0,13642.0,44.0
education,College degree,q2_stevens_vs_rogers,Mike Rogers,10000,32.3,10000.0,32.3
education,College degree,q2_stevens_vs_rogers,Undecided,7358,23.7,7358.0,23.7
education,College degree,q3_mcmorrow_vs_rogers,Undecided,13955,45.0,13955.0,45.0
education,College degree,q3_mcmorrow_vs_rogers,Mike Rogers,10014,32.3,10014.0,32.3
education,College degree,q3_mcmorrow_vs_rogers,Mallory McMorrow,7031,22.7,7031.0,22.7
education,High school or less,q1_elsayed_vs_rogers,Mike Rogers,12831,37.7,12831.0,37.7
education,High school or less,q1_elsayed_vs_rogers,Abdul El-Sayed,12000,35.3,12000.0,35.3
education,High school or less,q1_elsayed_vs_rogers,Undecided,9169,27.0,9169.0,27.0
education,High school or less,q2_stevens_vs_rogers,Haley Stevens,17180,50.5,17180.0,50.5
education,High school or less,q2_stevens_vs_rogers,Mike Rogers,11000,32.4,11000.0,32.4
education,High school or less,q2_stevens_vs_rogers,Undecided,5820,17.1,5820.0,17.1
education,High school or less,q3_mcmorrow_vs_rogers,Mallory McMorrow,12024,35.4,12024.0,35.4
education,High school or less,q3_mcmorrow_vs_rogers,Mike Rogers,11285,33.2,11285.0,33.2
education,High school or less,q3_mcmorrow_vs_rogers,Undecided,10691,31.4,10691.0,31.4
education,Postgraduate,q1_elsayed_vs_rogers,Abdul El-Sayed,4969,99.4,4969.0,99.4
education,Postgraduate,q1_elsayed_vs_rogers,Undecided,31,0.6,31.0,0.6
education,Postgraduate,q2_stevens_vs_rogers,Haley Stevens,4969,99.4,4969.0,99.4
education,Postgraduate,q2_stevens_vs_rogers,Undecided,31,0.6,31.0,0.6
education,Postgraduate,q3_mcmorrow_vs_rogers,Mallory McMorrow,4983,99.7,4983.0,99.7
education,Postgraduate,q3_mcmorrow_vs_rogers,Undecided,17,0.3,17.0,0.3
education,Some college,q1_elsayed_vs_rogers,Mike Rogers,12701,42.3,12701.0,42.3
education,Some college,q1_elsayed_vs_rogers,Undecided,10009,33.4,10009.0,33.4
education,Some college,q1_elsayed_vs_rogers,Abdul El-Sayed,7290,24.3,7290.0,24.3
education,Some college,q2_stevens_vs_rogers,Haley Stevens,11694,39.0,11694.0,39.0
