subgroup_field,subgroup_value,question_id,selected_answer,count,pct,weighted_count,weighted_pct
age_group,18-29,q1_elsayed_vs_rogers,Mike Rogers,5697,40.7,5697.0,40.7
age_group,18-29,q1_elsayed_vs_rogers,Undecided,5333,38.1,5333.0,38.1
age_group,18-29,q1_elsayed_vs_rogers,Abdul El-Sayed,2970,21.2,2970.0,21.2
age_group,18-29,q2_stevens_vs_rogers,Undecided,6718,48.0,6718.0,48.0
age_group,18-29,q2_stevens_vs_rogers,Mike Rogers,4001,28.6,4001.0,28.6
age_group,18-29,q2_stevens_vs_rogers,Haley Stevens,3281,23.4,3281.0,23.4
age_group,18-29,q3_mcmorrow_vs_rogers,Undecided,5916,42.3,5916.0,42.3
age_group,18-29,q3_mcmorrow_vs_rogers,Mike Rogers,4969,35.5,4969.0,35.5
age_group,18-29,q3_mcmorrow_vs_rogers,Mallory McMorrow,3115,22.2,3115.0,22.2
age_group,30-44,q1_elsayed_vs_rogers,Abdul El-Sayed,9000,42.9,9000.0,42.9
age_group,30-44,q1_elsayed_vs_rogers,Mike Rogers,6151,29.3,6151.0,29.3
age_group,30-44,q1_elsayed_vs_rogers,Undecided,5849,27.9,5849.0,27.9
age_group,30-44,q2_stevens_vs_rogers,Haley Stevens,11617,55.3,11617.0,55.3
age_group,30-44,q2_stevens_vs_rogers,Undecided,6383,30.4,6383.0,30.4
age_group,30-44,q2_stevens_vs_rogers,Mike Rogers,3000,14.3,3000.0,14.3
age_group,30-44,q3_mcmorrow_vs_rogers,Mallory McMorrow,9571,45.6,9571.0,45.6
age_group,30-44,q3_mcmorrow_vs_rogers,Undecided,8318,39.6,8318.0,39.6
age_group,30-44,q3_mcmorrow_vs_rogers,Mike Rogers,3111,14.8,3111.0,14.8
age_group,45-64,q1_elsayed_vs_rogers,Undecided,15448,41.8,15448.0,41.8
age_group,45-64,q1_elsayed_vs_rogers,Mike Rogers,11269,30.5,11269.0,30.5
age_group,45-64,q1_elsayed_vs_rogers,Abdul El-Sayed,10283,27.8,10283.0,27.8
age_group,45-64,q2_stevens_vs_rogers,Haley Stevens,21098,57.0,21098.0,57.0
age_group,45-64,q2_stevens_vs_rogers,Mike Rogers,10000,27.0,10000.0,27.0
age_group,45-64,q2_stevens_vs_rogers,Undecided,5902,16.0,5902.0,16.0
age_group,45-64,q3_mcmorrow_vs_rogers,Undecided,16638,45.0,16638.0,45.0
age_group,45-64,q3_mcmorrow_vs_rogers,Mallory McMorrow,10348,28.0,10348.0,28.0
age_group,45-64,q3_mcmorrow_vs_rogers,Mike Rogers,10014,27.1,10014.0,27.1
age_group,65+,q1_elsayed_vs_rogers,Mike Rogers,14816,52.9,14816.0,52.9
age_group,65+,q1_elsayed_vs_rogers,Abdul El-Sayed,9000,32.1,9000.0,32.1
age_group,65+,q1_elsayed_vs_rogers,Undecided,4184,14.9,4184.0,14.9
age_group,65+,q2_stevens_vs_rogers,Mike Rogers,14000,50.0,14000.0,50.0
age_group,65+,q2_stevens_vs_rogers,Haley Stevens,11398,40.7,11398.0,40.7
age_group,65+,q2_stevens_vs_rogers,Undecided,2602,9.3,2602.0,9.3
age_group,65+,q3_mcmorrow_vs_rogers,Mike Rogers,14193,50.7,14193.0,50.7
age_group,65+,q3_mcmorrow_vs_rogers,Mallory McMorrow,9000,32.1,9000.0,32.1
age_group,65+,q3_mcmorrow_vs_rogers,Undecided,4807,17.2,4807.0,17.2
education,College degree,q1_elsayed_vs_rogers,Mike Rogers,12402,40.0,12402.0,40.0
education,College degree,q1_elsayed_vs_rogers,Undecided,11590,37.4,11590.0,37.4
education,College degree,q1_elsayed_vs_rogers,Abdul El-Sayed,7008,22.6,7008.0,22.6
education,College degree,q2_stevens_vs_rogers,Haley Stevens,13583,43.8,13583.0,43.8
education,College degree,q2_stevens_vs_rogers,Mike Rogers,10000,32.3,10000.0,32.3
education,College degree,q2_stevens_vs_rogers,Undecided,7417,23.9,7417.0,23.9
education,College degree,q3_mcmorrow_vs_rogers,Undecided,13955,45.0,13955.0,45.0
education,College degree,q3_mcmorrow_vs_rogers,Mike Rogers,10017,32.3,10017.0,32.3
education,College degree,q3_mcmorrow_vs_rogers,Mallory McMorrow,7028,22.7,7028.0,22.7
education,High school or less,q1_elsayed_vs_rogers,Mike Rogers,12834,37.7,12834.0,37.7
education,High school or less,q1_elsayed_vs_rogers,Abdul El-Sayed,12000,35.3,12000.0,35.3
education,High school or less,q1_elsayed_vs_rogers,Undecided,9166,27.0,9166.0,27.0
education,High school or less,q2_stevens_vs_rogers,Haley Stevens,17182,50.5,17182.0,50.5
education,High school or less,q2_stevens_vs_rogers,Mike Rogers,11000,32.4,11000.0,32.4
education,High school or less,q2_stevens_vs_rogers,Undecided,5818,17.1,5818.0,17.1
education,High school or less,q3_mcmorrow_vs_rogers,Mallory McMorrow,12030,35.4,12030.0,35.4
education,High school or less,q3_mcmorrow_vs_rogers,Mike Rogers,11301,33.2,11301.0,33.2
education,High school or less,q3_mcmorrow_vs_rogers,Undecided,10669,31.4,10669.0,31.4
education,Postgraduate,q1_elsayed_vs_rogers,Abdul El-Sayed,4970,99.4,4970.0,99.4
education,Postgraduate,q1_elsayed_vs_rogers,Undecided,30,0.6,30.0,0.6
education,Postgraduate,q2_stevens_vs_rogers,Haley Stevens,4979,99.6,4979.0,99.6
education,Postgraduate,q2_stevens_vs_rogers,Undecided,21,0.4,21.0,0.4
education,Postgraduate,q3_mcmorrow_vs_rogers,Mallory McMorrow,4993,99.9,4993.0,99.9
education,Postgraduate,q3_mcmorrow_vs_rogers,Undecided,7,0.1,7.0,0.1
education,Some college,q1_elsayed_vs_rogers,Mike Rogers,12697,42.3,12697.0,42.3
education,Some college,q1_elsayed_vs_rogers,Undecided,10028,33.4,10028.0,33.4
education,Some college,q1_elsayed_vs_rogers,Abdul El-Sayed,7275,24.2,7275.0,24.2
education,Some college,q2_stevens_vs_rogers,Haley Stevens,11650,38.8,11650.0,38.8
education,Some college,q2_stevens_vs_rogers,Mike Rogers,10001,33.3,10001.0,33.3
education,Some college,q2_stevens_vs_rogers,Undecided,8349,27.8,8349.0,27.8
education,Some college,q3_mcmorrow_vs_rogers,Undecided,11048,36.8,11048.0,36.8
education,Some college,q3_mcmorrow_vs_rogers,Mike Rogers,10969,36.6,10969.0,36.6
education,Some college,q3_mcmorrow_vs_rogers,Mallory McMorrow,7983,26.6,7983.0,26.6
ideology,Conservative,q1_elsayed_vs_rogers,Mike Rogers,15802,98.8,15802.0,98.8
ideology,Conservative,q1_elsayed_vs_rogers,Undecided,198,1.2,198.0,1.2
ideology,Conservative,q2_stevens_vs_rogers,Mike Rogers,15000,93.8,15000.0,93.8
ideology,Conservative,q2_stevens_vs_rogers,Undecided,1000,6.2,1000.0,6.2
ideology,Conservative,q3_mcmorrow_vs_rogers,Mike Rogers,15143,94.6,15143.0,94.6
ideology,Conservative,q3_mcmorrow_vs_rogers,Undecided,857,5.4,857.0,5.4
ideology,Liberal,q1_elsayed_vs_rogers,Abdul El-Sayed,14970,99.8,14970.0,99.8
ideology,Liberal,q1_elsayed_vs_rogers,Undecided,30,0.2,30.0,0.2
ideology,Liberal,q2_stevens_vs_rogers,Haley Stevens,14979,99.9,14979.0,99.9
ideology,Liberal,q2_stevens_vs_rogers,Undecided,21,0.1,21.0,0.1
ideology,Liberal,q3_mcmorrow_vs_rogers,Mallory McMorrow,14993,100.0,14993.0,100.0
ideology,Liberal,q3_mcmorrow_vs_rogers,Undecided,7,0.0,7.0,0.0
ideology,Moderate,q1_elsayed_vs_rogers,Undecided,30586,69.5,30586.0,69.5
ideology,Moderate,q1_elsayed_vs_rogers,Mike Rogers,8131,18.5,8131.0,18.5
ideology,Moderate,q1_elsayed_vs_rogers,Abdul El-Sayed,5283,12.0,5283.0,12.0
ideology,Moderate,q2_stevens_vs_rogers,Haley Stevens,21415,48.7,21415.0,48.7
ideology,Moderate,q2_stevens_vs_rogers,Undecided,20584,46.8,20584.0,46.8
ideology,Moderate,q2_stevens_vs_rogers,Mike Rogers,2001,4.5,2001.0,4.5
ideology,Moderate,q3_mcmorrow_vs_rogers,Undecided,34815,79.1,34815.0,79.1
ideology,Moderate,q3_mcmorrow_vs_rogers,Mallory McMorrow,6041,13.7,6041.0,13.7
ideology,Moderate,q3_mcmorrow_vs_rogers,Mike Rogers,3144,7.1,3144.0,7.1
ideology,Progressive,q1_elsayed_vs_rogers,Abdul El-Sayed,11000,100.0,11000.0,100.0
ideology,Progressive,q2_stevens_vs_rogers,Haley Stevens,11000,100.0,11000.0,100.0
ideology,Progressive,q3_mcmorrow_vs_rogers,Mallory McMorrow,11000,100.0,11000.0,100.0
ideology,Very conservative,q1_elsayed_vs_rogers,Mike Rogers,14000,100.0,14000.0,100.0
ideology,Very conservative,q2_stevens_vs_rogers,Mike Rogers,14000,100.0,14000.0,100.0
ideology,Very conservative,q3_mcmorrow_vs_rogers,Mike Rogers,14000,100.0,14000.0,100.0
income_band,Low,q1_elsayed_vs_rogers,Abdul El-Sayed,4000,66.7,4000.0,66.7
income_band,Low,q1_elsayed_vs_rogers,Mike Rogers,2000,33.3,2000.0,33.3
income_band,Low,q2_stevens_vs_rogers,Haley Stevens,4000,66.7,4000.0,66.7
income_band,Low,q2_stevens_vs_rogers,Mike Rogers,2000,33.3,2000.0,33.3
income_band,Low,q3_mcmorrow_vs_rogers,Mallory McMorrow,4000,66.7,4000.0,66.7
income_band,Low,q3_mcmorrow_vs_rogers,Mike Rogers,2000,33.3,2000.0,33.3
income_band,Lower-middle,q1_elsayed_vs_rogers,Undecided,10966,39.2,10966.0,39.2
income_band,Lower-middle,q1_elsayed_vs_rogers,Abdul El-Sayed,10008,35.7,10008.0,35.7
income_band,Lower-middle,q1_elsayed_vs_rogers,Mike Rogers,7026,25.1,7026.0,25.1
income_band,Lower-middle,q2_stevens_vs_rogers,Haley Stevens,13690,48.9,13690.0,48.9
income_band,Lower-middle,q2_stevens_vs_rogers,Undecided,9309,33.2,9309.0,33.2
income_band,Lower-middle,q2_stevens_vs_rogers,Mike Rogers,5001,17.9,5001.0,17.9
income_band,Lower-middle,q3_mcmorrow_vs_rogers,Undecided,11824,42.2,11824.0,42.2
income_band,Lower-middle,q3_mcmorrow_vs_rogers,Mallory McMorrow,10126,36.2,10126.0,36.2
income_band,Lower-middle,q3_mcmorrow_vs_rogers,Mike Rogers,6050,21.6,6050.0,21.6
income_band,Middle,q1_elsayed_vs_rogers,Mike Rogers,22883,50.9,22883.0,50.9
income_band,Middle,q1_elsayed_vs_rogers,Undecided,12842,28.5,12842.0,28.5
income_band,Middle,q1_elsayed_vs_rogers,Abdul El-Sayed,9275,20.6,9275.0,20.6
income_band,Middle,q2_stevens_vs_rogers,Mike Rogers,19000,42.2,19000.0,42.2
income_band,Middle,q2_stevens_vs_rogers,Haley Stevens,16984,37.7,16984.0,37.7
income_band,Middle,q2_stevens_vs_rogers,Undecided,9016,20.0,9016.0,20.0
income_band,Middle,q3_mcmorrow_vs_rogers,Mike Rogers,19265,42.8,19265.0,42.8
income_band,Middle,q3_mcmorrow_vs_rogers,Undecided,15849,35.2,15849.0,35.2
income_band,Middle,q3_mcmorrow_vs_rogers,Mallory McMorrow,9886,22.0,9886.0,22.0
income_band,Upper-middle,q1_elsayed_vs_rogers,Abdul El-Sayed,7970,38.0,7970.0,38.0
income_band,Upper-middle,q1_elsayed_vs_rogers,Undecided,7006,33.4,7006.0,33.4
income_band,Upper-middle,q1_elsayed_vs_rogers,Mike Rogers,6024,28.7,6024.0,28.7
income_band,Upper-middle,q2_stevens_vs_rogers,Haley Stevens,12720,60.6,12720.0,60.6
income_band,Upper-middle,q2_stevens_vs_rogers,Mike Rogers,5000,23.8,5000.0,23.8
income_band,Upper-middle,q2_stevens_vs_rogers,Undecided,3280,15.6,3280.0,15.6
income_band,Upper-middle,q3_mcmorrow_vs_rogers,Mallory McMorrow,8022,38.2,8022.0,38.2
income_band,Upper-middle,q3_mcmorrow_vs_rogers,Undecided,8006,38.1,8006.0,38.1
income_band,Upper-middle,q3_mcmorrow_vs_rogers,Mike Rogers,4972,23.7,4972.0,23.7
party_lean,Independent / swing,q1_elsayed_vs_rogers,Undecided,30814,81.1,30814.0,81.1
party_lean,Independent / swing,q1_elsayed_vs_rogers,Mike Rogers,5933,15.6,5933.0,15.6
party_lean,Independent / swing,q1_elsayed_vs_rogers,Abdul El-Sayed,1253,3.3,1253.0,3.3
party_lean,Independent / swing,q2_stevens_vs_rogers,Undecided,20606,54.2,20606.0,54.2
party_lean,Independent / swing,q2_stevens_vs_rogers,Haley Stevens,17394,45.8,17394.0,45.8
party_lean,Independent / swing,q3_mcmorrow_vs_rogers,Undecided,35648,93.8,35648.0,93.8
party_lean,Independent / swing,q3_mcmorrow_vs_rogers,Mallory McMorrow,2034,5.4,2034.0,5.4
party_lean,Independent / swing,q3_mcmorrow_vs_rogers,Mike Rogers,318,0.8,318.0,0.8
party_lean,Lean Democrat,q1_elsayed_vs_rogers,Abdul El-Sayed,15000,100.0,15000.0,100.0
party_lean,Lean Democrat,q2_stevens_vs_rogers,Haley Stevens,15000,100.0,15000.0,100.0
party_lean,Lean Democrat,q3_mcmorrow_vs_rogers,Mallory McMorrow,15000,100.0,15000.0,100.0
party_lean,Lean Republican,q1_elsayed_vs_rogers,Mike Rogers,14000,100.0,14000.0,100.0
party_lean,Lean Republican,q2_stevens_vs_rogers,Mike Rogers,13001,92.9,13001.0,92.9
party_lean,Lean Republican,q2_stevens_vs_rogers,Undecided,999,7.1,999.0,7.1
party_lean,Lean Republican,q3_mcmorrow_vs_rogers,Mike Rogers,13969,99.8,13969.0,99.8
party_lean,Lean Republican,q3_mcmorrow_vs_rogers,Undecided,31,0.2,31.0,0.2
party_lean,Strong Democrat,q1_elsayed_vs_rogers,Abdul El-Sayed,15000,100.0,15000.0,100.0
party_lean,Strong Democrat,q2_stevens_vs_rogers,Haley Stevens,15000,100.0,15000.0,100.0
party_lean,Strong Democrat,q3_mcmorrow_vs_rogers,Mallory McMorrow,15000,100.0,15000.0,100.0
party_lean,Strong Republican,q1_elsayed_vs_rogers,Mike Rogers,18000,100.0,18000.0,100.0
party_lean,Strong Republican,q2_stevens_vs_rogers,Mike Rogers,18000,100.0,18000.0,100.0
party_lean,Strong Republican,q3_mcmorrow_vs_rogers,Mike Rogers,18000,100.0,18000.0,100.0
race_ethnicity,Asian,q1_elsayed_vs_rogers,Abdul El-Sayed,1000,100.0,1000.0,100.0
race_ethnicity,Asian,q2_stevens_vs_rogers,Haley Stevens,1000,100.0,1000.0,100.0
race_ethnicity,Asian,q3_mcmorrow_vs_rogers,Mallory McMorrow,1000,100.0,1000.0,100.0
race_ethnicity,Black,q1_elsayed_vs_rogers,Abdul El-Sayed,11000,84.6,11000.0,84.6
race_ethnicity,Black,q1_elsayed_vs_rogers,Mike Rogers,1000,7.7,1000.0,7.7
race_ethnicity,Black,q1_elsayed_vs_rogers,Undecided,1000,7.7,1000.0,7.7
race_ethnicity,Black,q2_stevens_vs_rogers,Haley Stevens,11095,85.3,11095.0,85.3
race_ethnicity,Black,q2_stevens_vs_rogers,Undecided,1905,14.7,1905.0,14.7
race_ethnicity,Black,q3_mcmorrow_vs_rogers,Mallory McMorrow,11000,84.6,11000.0,84.6
race_ethnicity,Black,q3_mcmorrow_vs_rogers,Undecided,2000,15.4,2000.0,15.4
race_ethnicity,Hispanic,q1_elsayed_vs_rogers,Abdul El-Sayed,3000,60.0,3000.0,60.0
