subgroup_field,subgroup_value,question_id,selected_answer,count,pct,weighted_count,weighted_pct
age_group,18-29,q1_elsayed_vs_rogers,Mike Rogers,5697,40.7,5697.0,40.7
age_group,18-29,q1_elsayed_vs_rogers,Undecided,5303,37.9,5303.0,37.9
age_group,18-29,q1_elsayed_vs_rogers,Abdul El-Sayed,3000,21.4,3000.0,21.4
age_group,18-29,q2_stevens_vs_rogers,Undecided,6697,47.8,6697.0,47.8
age_group,18-29,q2_stevens_vs_rogers,Mike Rogers,4001,28.6,4001.0,28.6
age_group,18-29,q2_stevens_vs_rogers,Haley Stevens,3302,23.6,3302.0,23.6
age_group,18-29,q3_mcmorrow_vs_rogers,Undecided,5909,42.2,5909.0,42.2
age_group,18-29,q3_mcmorrow_vs_rogers,Mike Rogers,4969,35.5,4969.0,35.5
age_group,18-29,q3_mcmorrow_vs_rogers,Mallory McMorrow,3122,22.3,3122.0,22.3
age_group,30-44,q1_elsayed_vs_rogers,Abdul El-Sayed,9000,42.9,9000.0,42.9
age_group,30-44,q1_elsayed_vs_rogers,Mike Rogers,6131,29.2,6131.0,29.2
age_group,30-44,q1_elsayed_vs_rogers,Undecided,5869,27.9,5869.0,27.9
age_group,30-44,q2_stevens_vs_rogers,Haley Stevens,11955,56.9,11955.0,56.9
age_group,30-44,q2_stevens_vs_rogers,Undecided,6045,28.8,6045.0,28.8
age_group,30-44,q2_stevens_vs_rogers,Mike Rogers,3000,14.3,3000.0,14.3
age_group,30-44,q3_mcmorrow_vs_rogers,Mallory McMorrow,9571,45.6,9571.0,45.6
age_group,30-44,q3_mcmorrow_vs_rogers,Undecided,8418,40.1,8418.0,40.1
age_group,30-44,q3_mcmorrow_vs_rogers,Mike Rogers,3011,14.3,3011.0,14.3
age_group,45-64,q1_elsayed_vs_rogers,Undecided,15448,41.8,15448.0,41.8
age_group,45-64,q1_elsayed_vs_rogers,Mike Rogers,11269,30.5,11269.0,30.5
age_group,45-64,q1_elsayed_vs_rogers,Abdul El-Sayed,10283,27.8,10283.0,27.8
age_group,45-64,q2_stevens_vs_rogers,Haley Stevens,21809,58.9,21809.0,58.9
